mandt,spras,dimid,txdim,operation_flag,is_deleted,recordstamp
100,E,ACCEL,Acceleration,L,False,2022-01-31 20:43:45.861987+00:00
200,E,ACCEL,Acceleration,L,False,2022-01-31 20:43:45.861987+00:00
250,E,ACCEL,Acceleration,L,False,2022-01-31 20:43:45.861987+00:00
000,E,CONDUC,Conductivity,L,False,2022-01-31 20:43:45.861987+00:00
001,E,CONDUC,Conductivity,L,False,2022-01-31 20:43:45.861987+00:00
050,E,CONDUC,Conductivity,L,False,2022-01-31 20:43:45.861987+00:00
100,E,CONDUC,Conductivity,L,False,2022-01-31 20:43:45.861987+00:00
200,E,CONDUC,Conductivity,L,False,2022-01-31 20:43:45.861987+00:00
250,E,CONDUC,Conductivity,L,False,2022-01-31 20:43:45.861987+00:00
000,D,LIGHT,Lichtstärke,L,False,2022-01-31 20:43:45.861987+00:00
001,D,LIGHT,Lichtstärke,L,False,2022-01-31 20:43:45.861987+00:00
050,D,LIGHT,Lichtstärke,L,False,2022-01-31 20:43:45.861987+00:00
100,D,LIGHT,Lichtstärke,L,False,2022-01-31 20:43:45.861987+00:00
200,D,LIGHT,Lichtstärke,L,False,2022-01-31 20:43:45.861987+00:00
250,D,LIGHT,Lichtstärke,L,False,2022-01-31 20:43:45.861987+00:00
000,E,MOENER,Molar energy,L,False,2022-01-31 20:43:45.861987+00:00
001,E,MOENER,Molar energy,L,False,2022-01-31 20:43:45.861987+00:00
050,E,MOENER,Molar energy,L,False,2022-01-31 20:43:45.861987+00:00
100,E,MOENER,Molar energy,L,False,2022-01-31 20:43:45.861987+00:00
200,E,MOENER,Molar energy,L,False,2022-01-31 20:43:45.861987+00:00
250,E,MOENER,Molar energy,L,False,2022-01-31 20:43:45.861987+00:00
000,E,PERMEA,Permeability,L,False,2022-01-31 20:43:45.861987+00:00
001,E,PERMEA,Permeability,L,False,2022-01-31 20:43:45.861987+00:00
050,E,PERMEA,Permeability,L,False,2022-01-31 20:43:45.861987+00:00
100,E,PERMEA,Permeability,L,False,2022-01-31 20:43:45.861987+00:00
200,E,PERMEA,Permeability,L,False,2022-01-31 20:43:45.861987+00:00
250,E,PERMEA,Permeability,L,False,2022-01-31 20:43:45.861987+00:00
000,D,VOLFLO,Volumenstrom,L,False,2022-01-31 20:43:45.861987+00:00
001,D,VOLFLO,Volumenstrom,L,False,2022-01-31 20:43:45.861987+00:00
050,D,VOLFLO,Volumenstrom,L,False,2022-01-31 20:43:45.861987+00:00
100,D,VOLFLO,Volumenstrom,L,False,2022-01-31 20:43:45.861987+00:00
200,D,VOLFLO,Volumenstrom,L,False,2022-01-31 20:43:45.861987+00:00
250,D,VOLFLO,Volumenstrom,L,False,2022-01-31 20:43:45.861987+00:00
000,D,ECURR,Elektr. Strom,L,False,2022-01-31 20:43:45.861987+00:00
001,D,ECURR,Elektr. Strom,L,False,2022-01-31 20:43:45.861987+00:00
050,D,ECURR,Elektr. Strom,L,False,2022-01-31 20:43:45.861987+00:00
100,D,ECURR,Elektr. Strom,L,False,2022-01-31 20:43:45.861987+00:00
200,D,ECURR,Elektr. Strom,L,False,2022-01-31 20:43:45.861987+00:00
250,D,ECURR,Elektr. Strom,L,False,2022-01-31 20:43:45.861987+00:00
000,D,CONDUC,Leifähigkeit,L,False,2022-01-31 20:43:45.861987+00:00
001,D,CONDUC,Leifähigkeit,L,False,2022-01-31 20:43:45.861987+00:00
050,D,CONDUC,Leifähigkeit,L,False,2022-01-31 20:43:45.861987+00:00
